id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
p_010,"The user performs a gesture where the right hand moves upward with the index finger extended, pointing upward, and then returns to a lower position.","The user performs a gesture with one hand, raising the index finger upward while the hand moves slightly back and forth near the head.","The user performs a gesture by raising one hand, with fingers slightly curled, and briefly touches the chin before lowering the hand back to its resting position.","The user performs a gesture where one hand moves upward to touch the lower part of the face, with fingers extended and slightly curved, before moving away.","The user performs a gesture where both hands are brought together, palms facing each other, with fingers interlocking and then transitioning to a pose where one hand is placed flat against the other, palm facing outward.","The user performs a gesture by clasping both hands together and then transitions to raising both hands with fingers spread apart, moving them in a repeated outward and upward motion.","The user raises their right hand with the index finger extended upward while the other fingers are curled, holds the pose briefly, and then lowers the hand.","The user performs a waving gesture with an open hand, fingers spread, moving side to side in front of their face."
p_011,"The user performs a sequence of gestures: first, the right hand is open with the palm facing upward and fingers slightly curled, moving subtly; then, the hand transitions to a position near the face with fingers extended and slightly spread, palm facing inward; finally, the hand moves to touch the chest with fingers slightly bent.","The user raises their right hand with fingers slightly bent and palm facing outward, then moves it near the side of their head, maintaining the position briefly before lowering it.","The user performs a gesture with the right hand, initially opening the fingers widely and holding the palm upright, followed by a gradual closing of the fingers into a pinching pose with the thumb and index finger near each other.","The user first forms a fist with the right hand, then transitions to an open hand with fingers spread, and finally moves to a pinching gesture with the thumb and index finger.","The user performs a sequence of gestures: first, both hands are raised with fingers spread apart and palms facing forward, then the hands move closer together with palms facing inward and fingers interlocking, and finally, the hands return to a resting position.","The user performs a sequence of gestures starting with both hands moving upward with fingers extended and palms facing each other, transitioning to hands raised with fingers spread and palms facing outward, followed by a downward movement with fingers slightly curled, and finally returning to a resting position.","The user performs a gesture by raising their right hand with fingers spread, transitions to pointing upward with the index finger, and then moves the hand to touch the side of their head briefly.","The user performs a gesture with the right hand, initially raising it with fingers spread wide and palm facing forward, followed by curling the fingers into a fist with the index finger extended upward, and then bringing the hand closer to the face."
p_012,"The user performs two gestures in sequence: first, raising the right hand with fingers slightly curved and positioned near the ear, followed by lowering the hand and making a forward motion with the left hand, fingers extended.","The user performs a sequence of gestures involving the right hand raised near the ear with fingers slightly curved, while the left hand moves upward with an open palm and fingers spread, followed by alternating movements of both hands.","The user raises their right hand, extends the index finger vertically, and places it against their lips, maintaining this pose for several frames before lowering the hand back to the resting position.","The user performs a sequence of gestures involving raising the right hand with fingers slightly curled and moving it towards the face, briefly touching the chin, followed by extending the hand outward with fingers spread and a waving motion, and then returning to a resting position.","The user performs a sequence of gestures involving raising the right hand with the index finger extended upward, followed by pointing forward with the same hand and index finger, and then lowering the hand.","The user performs a sequence of gestures involving clasped hands moving apart into a rapid circular motion, transitioning to both hands raised near the face with fingers spread, followed by upward and outward movements with open palms, and concluding with a return to resting positions.","The user performs a gesture with the right hand, raising it with the index finger extended upward while the other fingers are curled, and then moves the hand slightly downward before returning to a resting position.","The user performs a waving gesture with the right hand, characterized by an open palm facing outward and side-to-side movement, followed by a tapping motion with the fingers of the same hand on the table."
p_013,"The user performs a sequence of gestures, starting with a rapid up-and-down motion of the right hand with a loosely closed fist, transitioning to raising the index finger while the hand remains upright and stationary, and concluding with a repeated open-palm wave-like motion.","The user performs a hand gesture with the right hand involving a repeated upward and downward motion, followed by a brief opening of the fingers into a spread position.","The user raises their right hand, extends the index finger vertically, and touches it to their lips, followed by lowering the hand with a slight sweeping motion.","The user performs a sequence of gestures involving the right hand moving upward toward the face, briefly touching the side of the head near the jawline, and then moving downward in a repetitive motion.","The user performs a sequence of gestures starting with raising the right hand vertically with fingers spread, transitioning to both hands raised with fingers spread, and ending with a waving motion of the right hand, followed by returning to resting positions.","The user performs a ""thumbs-up"" gesture with the right hand, raising the thumb upward while the other fingers are curled into the palm, and then lowers the hand back to a resting position.","The user performs a gesture by raising their right hand, extending the index finger upward while the other fingers remain curled, followed by a downward motion of the hand with fingers relaxed.","The user performs a waving gesture with the right hand, characterized by an open palm, fingers extended and slightly spread, moving side-to-side, followed by a downward motion returning to a resting position."
p_014,"The user performs a sequence of gestures where the right hand moves towards the ear with fingers slightly curved and remains in contact, while the left hand extends outward with fingers relaxed and moves slightly downward.","The user performs a sequence of gestures involving raising one hand with fingers extended and slightly spread, moving it side to side, followed by lowering the hand and repeating the motion.","The user performs a gesture where the right hand moves upward, touches the face near the mouth with fingers slightly curled, transitions into an ""OK"" sign with the thumb and index finger forming a circle, and then returns to a resting position.","The user performs a gesture where the right hand moves upward with fingers forming an ""OK"" sign near the face, followed by a waving motion to the side, and then returns to a resting position.","The user performs a sequence of gestures starting with a raised hand with fingers extended and palm facing outward, followed by a waving motion, and transitions to a horizontal sweeping motion with the hand near the torso.","The user performs two gestures in sequence: first, the right hand moves upward with fingers extended and palm facing inward, brushing the side of the head; second, the right hand transitions to a raised position with fingers slightly curled, making a repetitive waving motion.","The user performs a waving gesture with one hand, raising it to shoulder level, fingers spread, and moving it side to side, followed by returning to a resting position.","The user performs a sequence of gestures starting with the right hand forming a ""call me"" gesture with the thumb and pinky extended while the other fingers are curled, followed by pointing downward with the index finger extended and the other fingers curled."
p_015,"The user performs a single hand gesture where the right hand moves upward with the palm facing up and fingers slightly curled, followed by a downward motion returning to the resting position.","The user performs a sequence of gestures involving the right hand moving upward with fingers extended and palm facing forward, followed by a waving motion, and then returning to a resting position.","The user performs a rapid waving gesture with an open hand, fingers spread, followed by a pinching motion with the thumb and index finger, and then returns to resting positions.","The user performs a sequence of gestures starting with a closed fist moving slightly upward, transitioning to an open hand with fingers spread and palm facing upward, and concluding with a downward motion of the open hand.","The user performs two gestures in sequence: first, a rapid upward waving motion with the right hand, fingers extended and palm facing outward, followed by a sweeping motion across the chest with the right hand, palm facing inward.","The user performs a clapping gesture followed by bringing their palms together in a prayer-like pose, then transitions back to clapping before returning to a resting position.","The user raises their right hand, extends the index finger upward while the other fingers remain curled, holds the pose briefly, and then lowers the hand back to the resting position.","The user performs a hand gesture by raising one hand with fingers extended and palm facing forward, followed by a waving motion, and then returns to a resting position."
p_016,"The user performs a gesture with one hand, starting with the palm facing upward and fingers slightly curled, then transitioning to an open palm facing outward with fingers spread, followed by lowering the hand back to a resting position.","The user performs a sequence of gestures with one hand, starting with a raised open palm facing forward, transitioning to a horizontal hand with fingers extended and slightly wiggling, and then lowering the hand back to a resting position.","The user performs two sequential gestures: first, raising one hand with fingers spread and palm facing outward, followed by moving the same hand to cover the lower part of the face with the palm.","The user performs a sequence of gestures: first, raising a closed fist near the chin; second, placing an open hand over the mouth; and third, waving with an open hand, palm facing outward.","The user performs two gestures in sequence: first, raising the right hand to hover above the head with the palm facing downward, and second, moving the right hand horizontally in front of the torso with the palm facing downward.","The user performs a sequence of gestures starting with the right hand moving horizontally with the palm facing down, followed by the right hand raised above the head with the palm facing down, and then the right hand touching the forehead before returning to a resting position.","The user performs a gesture by raising one hand with fingers extended and palm facing forward, followed by lowering the hand back to a resting position.","The user performs a sequence of gestures involving a hand moving upward to touch the forehead, followed by a downward motion, and then a repeated horizontal sweeping motion with the palm facing downward."
p_017,"The user performs a gesture with the right hand, raising it with the index finger extended upward while the other fingers remain curled, and maintains this pose with slight upward and downward movements.","The user performs a gesture with the right hand, initially forming a fist, then extending the index finger upward, followed by extending the thumb outward to form an ""L"" shape, and finally retracting the thumb and index finger back into a fist.","The user performs a gesture by raising a closed fist to the chin, briefly touching it, followed by lowering the fist back to the initial position.","The user raises their right hand, forms a fist, extends the index finger, and touches the side of their head near the temple before returning to the resting position.","The user performs a sequence of gestures starting with clasped hands, transitioning to open hands with fingers spread and moving outward, followed by closed fists moving in a circular motion, and ending with both fists held together in front.","The user performs a sequence of gestures starting with a closed fist resting against the chin, transitioning to both hands forming fists and moving forward, then spreading arms outward with fists, and finally lowering the fists while maintaining a downward motion.","The user raises their right hand, extends the index finger upward while the other fingers remain curled, holds the position briefly, and then lowers the hand back to the resting position.","The user performs a sequence of gestures involving both hands raised with fingers spread, moving back and forth in a waving motion, followed by hands extended forward with palms facing outward, and then returning to a resting position."
p_018,"The user performs a waving gesture with one hand, characterized by an open palm facing outward and fingers extended, moving side to side repeatedly.","The user performs a sequence of two gestures: first, a waving motion with the right hand, fingers extended and palm facing forward, moving side to side; second, a circular motion with the right hand, fingers relaxed and palm facing downward, moving in a clockwise direction.","The user raises their right hand to touch their lips with an open palm, holds the position briefly, and then lowers the hand back down.","The user performs a gesture by raising both hands, with fingers extended and pointing upward, briefly touching the sides of their head near the ears, followed by lowering the hands back down.","The user performs a gesture sequence where both hands move upward with fingers slightly bent, touch the face covering the eyes, and then return downward to the initial position.","The user performs two combined gestures: first, both hands move upward to cover the face with palms open and fingers extended, followed by both hands moving outward and upward to a raised position with palms facing outward and fingers spread.","The user performs a gesture with the right hand, raising the index finger upward while the other fingers are curled, followed by a downward movement and return to the initial raised position.","The user performs a waving gesture with the right hand, fingers extended and slightly apart, moving side to side in a repeated motion."
p_019,"The user performs a sequence of gestures with the right hand, starting with a rapid waving motion, transitioning to an extended index finger pointing upward, followed by a pinching motion with the thumb and index finger, and concluding with a return to the waving motion.","The user performs a sequence of gestures involving the right hand moving upward with fingers extended, followed by a brief pointing motion, and then transitions into a repetitive circular motion with the forearm before returning to a resting position.","The user performs a sequence of gestures involving a rapid upward and downward motion of the right hand, followed by touching the face with the right hand, forming an ""OK"" sign with the fingers near the face, and then returning to the initial rapid hand motion before resting.","The user performs a single hand gesture where the right hand, with fingers extended and slightly apart, moves in a quick upward and downward waving motion near the head before returning to a resting position.","The user performs a single hand gesture by raising their right hand, moving it in a quick upward and downward motion, briefly touching the side of their head with the fingers, and then returning to the initial position.","The user performs a sequence of gestures involving clapping hands together multiple times, raising both hands with fingers spread and palms facing outward, and returning to a resting position with arms crossed.","The user performs a single hand gesture by raising the right hand with fingers extended and slightly curved, moving it upward and then downward near the head, followed by returning to a resting position.","The user performs a sequence of gestures involving the right hand moving upward with fingers extended, followed by both hands interacting with palms facing each other in a horizontal clapping motion, and concludes with the right hand making circular movements above the left hand."
p_020,"The user performs a single hand gesture where the right hand moves upward with an open palm facing left, fingers extended, and then returns downward.","The user performs a gesture by raising one hand with fingers extended and palm facing outward, followed by a downward motion and returning to a resting position.","The user performs a waving gesture with the right hand, fingers spread and moving side to side, followed by a pointing gesture with the index finger extended and directed forward.","The user performs a sequence of gestures involving clapping hands together, crossing hands with palms facing inward, and then extending both hands outward with palms facing upward.","The user performs a sequence of gestures including clapping hands, crossing arms in an ""X"" shape in front of the face, forming a triangular shape with the hands, and making downward patting motions with open palms.","The user performs a gesture where both hands form an ""L"" shape with the index fingers extended vertically and thumbs extended horizontally, creating a rectangular frame, followed by a brief return to a neutral position.","The user raises their right hand with the index finger extended upward while the other fingers are curled, holds the pose briefly, and then lowers the hand back down.","The user performs a sequence of gestures starting with both hands crossing at the wrists with fingers extended upward, forming an ""X"" shape, followed by a transition to a clapping motion with palms meeting horizontally."
p_021,"The user performs a sequence of gestures involving rapid hand movements, initially raising the right hand with the index finger extended near the head, followed by upward and downward motions of the hand with the index finger pointing upward.","The user performs a sequence of gestures: first, a rapid upward motion of the right hand with the index finger extended and pointing upward, followed by the hand transitioning to touch the side of the head near the temple with the index finger, and finally, the hand moves downward with a loose fist.","The user performs a sequence of gestures involving one hand moving upward to touch the face near the mouth, followed by a downward motion and a repetitive horizontal waving motion with the palm facing downward.","The user performs a sequence of gestures involving rapid hand movements, touching the chin with the fingers, and raising the index finger vertically, followed by returning to resting positions.","The user performs a sequence of gestures starting with a single hand moving upward to touch the forehead, followed by a repetitive forward and downward motion of the hand.","The user performs a sequence of gestures involving raising the right hand to touch the side of the head with fingers, followed by extending the hand forward with a pointing motion, and concluding with a waving motion using the right hand.","The user performs a gesture by raising their right hand with the index finger extended upward, followed by a downward motion and returning to the resting position.","The user performs a gesture involving both hands clasped together, moving in a circular motion in front of the chest."
p_022,"The user performs a gesture with the right hand, raising it to the side of the head with the index finger extended and pointing upward, then briefly touches the side of the head near the temple before lowering the hand.","The user performs a gesture with the right hand, starting with a pinching motion using the thumb and index finger, transitioning to pointing with the index finger, and then returning to a pinching motion before resting.",The user transitions from clasping both hands together to raising the right index finger vertically and placing it against the lips while the left hand remains open and stationary.,The user does not perform any hand gesture.,"The user performs a sequence of gestures: first, the right hand touches the chin with fingers extended and slightly curved; then both hands move forward with palms facing each other, transitioning to the left hand raised above the head with the palm facing downward while the right hand remains forward; finally, the hands interlock with fingers intertwined in front of the body.","The user performs a waving gesture with the right hand, characterized by an open palm facing outward and side-to-side movement.","The user performs a sequence of gestures starting with interlocked fingers, transitioning to raising the right hand with fingers extended and moving, followed by lowering the hand and returning to interlocked fingers.","The user performs a sequence of gestures starting with the right hand raised vertically with fingers spread and palm facing forward, followed by a waving motion, and transitions to a gesture where the right hand is tilted with fingers slightly curled and palm facing upward."
p_023,"The user performs a sequence of gestures starting with the right hand moving forward and upward into an open palm facing outward, transitioning into a waving motion with the fingers, and concluding with the hand returning downward.","The user performs a single hand gesture with the right hand, moving it in a repeated downward wave-like motion, fingers extended and slightly curved, palm facing left, and the arm gradually lowering.","The user performs a sequence of gestures starting with the right hand moving vertically upward with fingers extended, transitioning to the hand covering the lower face with fingers slightly curved, and concluding with a downward motion of the hand in a fist-like shape.","The user performs two gestures in sequence: first, the right hand moves upward with fingers extended and touches the face near the mouth, and second, the right hand moves outward with fingers extended and palm facing left in a sweeping motion.","The user performs a gesture where both hands move upward with palms facing forward, fingers spread apart, and hands positioned near the face, followed by a return to a resting position.","The user performs a sequence of gestures: first, both hands are pressed together and moved upward to cover the face; then, the hands separate and move outward in a symmetrical upward motion; finally, the hands come together in a circular motion and rest on the table.","The user performs a gesture by raising their right hand vertically with fingers extended and palm facing forward, holding it steady before lowering it back down.","The user performs a sequence of gestures: first, raising the right hand with fingers slightly curled and touching the side of the head; then lowering the hand in a sweeping motion to the table, followed by a repetitive tapping motion with both hands on the table."
p_024,"The user performs a gesture with the right hand, initially raising the index finger vertically, then pointing diagonally upward, followed by a downward curling motion of the finger.","The user performs a sequence of gestures starting with a single hand movement where the index finger points forward, transitions to a ""V"" shape with the index and middle fingers extended upward, and then returns to a single index finger pointing forward.","The user performs two sequential hand gestures: first, the right hand moves upward with an open palm and fingers spread, transitioning into a waving motion; second, the right hand points downward with the index finger extended while the other fingers are curled.","The user performs a sequence of gestures: first, a fist with the right hand moving slightly upward and downward; second, an open right hand with fingers spread, transitioning to a ""OK"" sign with the thumb and index finger forming a circle while the other fingers remain extended; and finally, a pinching motion with the thumb and index finger of the right hand.","The user performs a sequence of gestures: first, a closed fist with the right hand, followed by an open palm facing forward with fingers spread, and finally a pinching motion with the thumb and index finger.","The user performs a waving gesture with the right hand, fingers spread and palm facing forward, followed by a pinching motion with the thumb and index finger.",The user does not perform any hand gestures in the sequence of images.,"The user performs a waving gesture with the right hand, fingers spread and palm facing forward, moving side to side, followed by a pinching gesture with the thumb and index finger of the same hand."
p_025,"The user performs a gesture with the right hand, initially raising it with fingers slightly curled, transitioning to an open palm facing forward, and then lowering it while rotating the palm upward.","The user performs two gestures in sequence: first, the right hand is raised with the index finger extended and slightly bent while the other fingers are curled, followed by the right hand opening with fingers spread and palm facing forward.","The user performs a gesture by raising one hand, touching their lips with fingers extended, then covering their mouth with the same hand, followed by lowering the hand.","The user performs a gesture by raising one hand, touching the fingertips to the lips, then transitioning to touch the chin with the same hand before lowering it.","The user performs a gesture by raising one hand with fingers extended and palm facing forward, followed by lowering the hand and making a slight waving motion with the fingers.","The user performs a sequence of gestures starting with raising an open hand with fingers extended and palm facing forward, transitioning to moving the hand forward while maintaining the open palm, followed by forming a ""V"" shape with the index and middle fingers extended and other fingers curled, and finally lowering the hand back to a resting position.","The user raises their right hand with the index finger extended upward, holding this pose briefly before lowering the hand back to a resting position.","The user raises their right hand with fingers extended and palm facing forward, holds it steady, then moves the hand forward and downward with fingers still extended."
p_026,"The user performs two gestures in sequence: first, a right-hand wave-like motion with the palm facing down, moving up and down; second, a raised right index finger pointing upward, held steady.","The user performs two gestures in sequence: first, a sweeping motion with the right hand flat and palm facing downward across the chest area, followed by a pinching motion with the right hand near the forehead, moving downward.","The user performs a sequence of gestures involving a raised hand with fingers extended and palm facing downward, moving up and down, followed by a hand touching the side of the head near the ear.","The user performs two gestures in sequence: first, a hand moves upward with fingers extended and palm facing downward, stopping near the head; second, the hand transitions to a pose with fingers curled, resting against the side of the face.","The user performs a sequence of gestures starting with the hand resting on the chin, followed by a downward sweeping motion, then raising the hand to touch the side of the head, and finally lowering the hand back to a resting position.","The user performs a sequence of gestures starting with a hand moving upward to touch the face, followed by the hand forming an open palm facing forward with fingers spread, and then retracting to a resting position.","The user performs a gesture with one hand raised, fingers curled into a loose fist, moving the hand up and down repeatedly near the head, followed by extending the index finger upward while the hand remains stationary.","The user performs a sequence of gestures involving raising one hand with the index finger extended upward, followed by a rapid waving motion of the hand with fingers loosely spread."
p_027,"The user performs a sequence of gestures involving the right hand moving upward with fingers slightly curved, transitioning to an open palm facing outward, followed by a downward motion with fingers returning to a relaxed position.","The user performs a gesture with one hand, starting with a forward motion, transitioning to a raised position with fingers slightly curved and palm facing outward, followed by a gradual lowering and return to a neutral position.","The user raises their right hand, moves it toward their face with fingers slightly curled, touches the chin briefly, and then retracts the hand.","The user performs a sequence of gestures involving one hand raised with fingers spread and palm facing outward, alternating with the same hand forming a pinching motion near the face.","The user performs a sequence of gestures starting with forming a rectangular shape using both hands, followed by raising one hand with fingers spread near the face, and then lowering the hand back to a neutral position.","The user performs a sequence of gestures: first, forming a rectangular frame with both hands by extending the index fingers and thumbs while the other fingers are curled, followed by clapping both hands together.","The user performs two sequential hand gestures: first, raising the right hand with fingers extended and palm facing forward, followed by forming a circle with the thumb and index finger while the other fingers remain extended, and then lowering the hand.","The user performs a sequence of two hand gestures: first, a ""thumbs-up"" gesture with the thumb extended upward while the other fingers are curled, followed by a ""pointing down"" gesture with the index finger extended downward and the other fingers curled."
